neurons_layer1,neurons_layer2,learning_rate,batch_size,mean_val_loss
4,4,0.0001,8,1.1600311994552612
4,4,0.0001,16,1.2264543533325196
4,4,0.0001,32,1.1629662275314332
4,4,0.001,8,0.77874675989151
4,4,0.001,16,0.8512691140174866
4,4,0.001,32,0.8590068936347961
4,4,0.01,8,0.7723571538925171
4,4,0.01,16,0.7692720651626587
4,4,0.01,32,0.7682697296142578
4,8,0.0001,8,0.9504916310310364
4,8,0.0001,16,1.0088194370269776
4,8,0.0001,32,1.095061218738556
4,8,0.001,8,0.7768254518508911
4,8,0.001,16,0.7966138839721679
4,8,0.001,32,0.8423229694366455
4,8,0.01,8,0.7678430557250977
4,8,0.01,16,0.7714526534080506
4,8,0.01,32,0.7720326662063599
4,16,0.0001,8,0.9296374440193176
4,16,0.0001,16,0.9973220825195312
4,16,0.0001,32,1.004418432712555
4,16,0.001,8,0.777732515335083
4,16,0.001,16,0.7866892695426941
4,16,0.001,32,0.8327956080436707
4,16,0.01,8,0.775154423713684
4,16,0.01,16,0.7664332509040832
4,16,0.01,32,0.7701732754707337
8,4,0.0001,8,1.006150758266449
8,4,0.0001,16,1.0188336849212647
8,4,0.0001,32,1.23075692653656
8,4,0.001,8,0.7774708986282348
8,4,0.001,16,0.8071096181869507
8,4,0.001,32,0.8348644495010376
8,4,0.01,8,0.7720495104789734
8,4,0.01,16,0.7703003048896789
8,4,0.01,32,0.7740558862686158
8,8,0.0001,8,0.8918329954147339
8,8,0.0001,16,1.0453301668167114
8,8,0.0001,32,1.0206520438194275
8,8,0.001,8,0.7844944715499877
8,8,0.001,16,0.7953332901000977
8,8,0.001,32,0.8435340166091919
8,8,0.01,8,0.7670495271682739
8,8,0.01,16,0.7706469774246216
8,8,0.01,32,0.7697270154953003
8,16,0.0001,8,0.8800615668296814
8,16,0.0001,16,0.9476027369499207
8,16,0.0001,32,1.1989222288131713
8,16,0.001,8,0.7785015225410461
8,16,0.001,16,0.7852225422859191
8,16,0.001,32,0.8059633493423461
8,16,0.01,8,0.7668195366859436
8,16,0.01,16,0.7712091207504272
8,16,0.01,32,0.7714897394180298
16,4,0.0001,8,0.9334778666496277
16,4,0.0001,16,0.9977808713912963
16,4,0.0001,32,1.0286345720291137
16,4,0.001,8,0.7859879851341247
16,4,0.001,16,0.8024864673614502
16,4,0.001,32,0.8721063017845154
16,4,0.01,8,0.7717840075492859
16,4,0.01,16,0.7675779819488525
16,4,0.01,32,0.7714948177337646
16,8,0.0001,8,0.9060800194740295
16,8,0.0001,16,1.0390259385108949
16,8,0.0001,32,1.0467026710510254
16,8,0.001,8,0.7764535069465637
16,8,0.001,16,0.7948434591293335
16,8,0.001,32,0.8256126046180725
16,8,0.01,8,0.7692476868629455
16,8,0.01,16,0.7704035401344299
16,8,0.01,32,0.7735107183456421
16,16,0.0001,8,0.8943745136260987
16,16,0.0001,16,0.9045028805732727
16,16,0.0001,32,0.9936380863189698
16,16,0.001,8,0.7788068771362304
16,16,0.001,16,0.7844624161720276
16,16,0.001,32,0.8223878741264343
16,16,0.01,8,0.7717899560928345
16,16,0.01,16,0.7698303580284118
16,16,0.01,32,0.7683560967445373
