neurons_layer1,neurons_layer2,learning_rate,batch_size,mean_val_loss
4,4,0.0001,16,0.9602985739707947
4,4,0.0001,32,0.9816788077354431
4,4,0.0001,64,1.0858712077140809
4,4,0.001,16,0.8370302319526672
4,4,0.001,32,0.857439112663269
4,4,0.001,64,0.8998174786567688
4,8,0.0001,16,0.9439178109169006
4,8,0.0001,32,1.0118490219116212
4,8,0.0001,64,1.0378774523735046
4,8,0.001,16,0.8119557619094848
4,8,0.001,32,0.8484067440032959
4,8,0.001,64,0.9277223706245422
4,16,0.0001,16,0.9354864001274109
4,16,0.0001,32,0.9778148770332337
4,16,0.0001,64,0.9984194040298462
4,16,0.001,16,0.8305920481681823
4,16,0.001,32,0.8371388792991639
4,16,0.001,64,0.8603865027427673
8,4,0.0001,16,0.9651947259902954
8,4,0.0001,32,1.0381103038787842
8,4,0.0001,64,1.0705825567245484
8,4,0.001,16,0.858006477355957
8,4,0.001,32,0.8468340039253235
8,4,0.001,64,0.9392866730690003
8,8,0.0001,16,0.9722438097000122
8,8,0.0001,32,1.044221317768097
8,8,0.0001,64,1.0239553093910216
8,8,0.001,16,0.8419461369514465
8,8,0.001,32,0.8619985580444336
8,8,0.001,64,0.8829273462295533
8,16,0.0001,16,0.9328629851341248
8,16,0.0001,32,0.9873525261878967
8,16,0.0001,64,1.0531935095787048
8,16,0.001,16,0.8269956231117248
8,16,0.001,32,0.863200581073761
8,16,0.001,64,0.869896411895752
16,4,0.0001,16,0.9909950256347656
16,4,0.0001,32,1.0423785209655763
16,4,0.0001,64,1.0502070426940917
16,4,0.001,16,0.8561360716819764
16,4,0.001,32,0.8820287823677063
16,4,0.001,64,0.9463003277778625
16,8,0.0001,16,0.9723306655883789
16,8,0.0001,32,1.0043984055519104
16,8,0.0001,64,1.0513936281204224
16,8,0.001,16,0.8560134768486023
16,8,0.001,32,0.8857486844062805
16,8,0.001,64,0.9152304053306579
16,16,0.0001,16,0.947956919670105
16,16,0.0001,32,1.0075079083442688
16,16,0.0001,64,1.0356600761413575
16,16,0.001,16,0.8541932582855225
16,16,0.001,32,0.8765443444252015
16,16,0.001,64,0.9073054313659668
