neurons_layer1,neurons_layer2,neurons_layer3,learning_rate,batch_size,mean_val_loss
4,4,4,0.0001,16,0.8801384925842285
4,4,4,0.0001,32,0.99014310836792
4,4,4,0.0001,64,1.036903488636017
4,4,4,0.001,16,0.853161633014679
4,4,4,0.001,32,0.7977306127548218
4,4,4,0.001,64,0.8133536338806152
4,4,8,0.0001,16,0.8454991459846497
4,4,8,0.0001,32,0.9412572503089904
4,4,8,0.0001,64,0.9749512195587158
4,4,8,0.001,16,0.7826050281524658
4,4,8,0.001,32,0.7933732986450195
4,4,8,0.001,64,0.8018014192581177
4,4,16,0.0001,16,0.8425228953361511
4,4,16,0.0001,32,0.8913394093513489
4,4,16,0.0001,64,0.9794530630111694
4,4,16,0.001,16,0.7826959729194641
4,4,16,0.001,32,0.7862223863601685
4,4,16,0.001,64,0.7898775577545166
4,8,4,0.0001,16,0.8996002197265625
4,8,4,0.0001,32,0.9011932015419006
4,8,4,0.0001,64,0.9809821248054504
4,8,4,0.001,16,0.7921442151069641
4,8,4,0.001,32,0.7866988182067871
4,8,4,0.001,64,0.7933746099472045
4,8,8,0.0001,16,0.8654146075248719
4,8,8,0.0001,32,0.944840407371521
4,8,8,0.0001,64,1.008575963973999
4,8,8,0.001,16,0.7854430317878723
4,8,8,0.001,32,0.7854942202568054
4,8,8,0.001,64,0.7936415433883667
4,8,16,0.0001,16,0.8685728430747985
4,8,16,0.0001,32,0.9130508899688721
4,8,16,0.0001,64,0.9971704602241516
4,8,16,0.001,16,0.7794169902801513
4,8,16,0.001,32,0.7866037368774415
4,8,16,0.001,64,0.7863112092018127
4,16,4,0.0001,16,0.8955607175827026
4,16,4,0.0001,32,0.9811689138412476
4,16,4,0.0001,64,0.963010025024414
4,16,4,0.001,16,0.8474450588226319
4,16,4,0.001,32,0.7879201531410217
4,16,4,0.001,64,0.7938024401664734
4,16,8,0.0001,16,0.8669509410858154
4,16,8,0.0001,32,0.9285506725311279
4,16,8,0.0001,64,0.9557002902030944
4,16,8,0.001,16,0.7823210716247558
4,16,8,0.001,32,0.7849951982498169
4,16,8,0.001,64,0.7849504709243774
4,16,16,0.0001,16,0.8438134908676147
4,16,16,0.0001,32,0.9337113738059998
4,16,16,0.0001,64,0.9956515789031982
4,16,16,0.001,16,0.7811628580093384
4,16,16,0.001,32,0.7830808877944946
4,16,16,0.001,64,0.7872988104820251
8,4,4,0.0001,16,0.891578757762909
8,4,4,0.0001,32,0.9549136400222779
8,4,4,0.0001,64,1.0500429034233094
8,4,4,0.001,16,0.7849112629890442
8,4,4,0.001,32,0.7994454979896546
8,4,4,0.001,64,0.8186844944953918
8,4,8,0.0001,16,0.8585248589515686
8,4,8,0.0001,32,0.9301881313323974
8,4,8,0.0001,64,1.0244964480400085
