n_centers,gamma,optimizer,learning_rate,batch_size,test_loss,val_loss,test_mse
10,0.001,<class 'keras.src.optimizers.adam.Adam'>,0.001,32,1.0618733167648315,1.213467001914978,1.0618733009378196
10,0.001,<class 'keras.src.optimizers.adam.Adam'>,0.001,64,0.8700314164161682,1.0587118864059448,0.870031480193726
10,0.001,<class 'keras.src.optimizers.adam.Adam'>,0.001,128,0.8892509341239929,1.035071849822998,0.8892509994543932
10,0.001,<class 'keras.src.optimizers.adam.Adam'>,0.01,32,0.9028162956237793,1.0356016159057617,0.9028163594376878
10,0.001,<class 'keras.src.optimizers.adam.Adam'>,0.01,64,0.898874819278717,1.0345447063446045,0.8988747594060117
10,0.001,<class 'keras.src.optimizers.adam.Adam'>,0.01,128,0.888129711151123,1.0364611148834229,0.8881297197269212
10,0.001,<class 'keras.src.optimizers.sgd.SGD'>,0.001,32,0.8813799023628235,1.0587430000305176,0.8813799302762676
10,0.001,<class 'keras.src.optimizers.sgd.SGD'>,0.001,64,0.9564576745033264,1.3243108987808228,0.956457721232895
10,0.001,<class 'keras.src.optimizers.sgd.SGD'>,0.001,128,1.006351113319397,1.1046260595321655,1.0063511726034269
10,0.001,<class 'keras.src.optimizers.sgd.SGD'>,0.01,32,0.8941235542297363,1.0291905403137207,0.8941235384936661
10,0.001,<class 'keras.src.optimizers.sgd.SGD'>,0.01,64,0.9001916646957397,1.0337084531784058,0.9001916008557723
10,0.001,<class 'keras.src.optimizers.sgd.SGD'>,0.01,128,0.8875457644462585,1.0345607995986938,0.8875457309026663
10,0.01,<class 'keras.src.optimizers.adam.Adam'>,0.001,32,0.95646071434021,1.0971776247024536,0.9564607144287613
10,0.01,<class 'keras.src.optimizers.adam.Adam'>,0.001,64,0.9048044085502625,1.0129978656768799,0.9048043654773562
10,0.01,<class 'keras.src.optimizers.adam.Adam'>,0.001,128,1.553682565689087,1.6328251361846924,1.5536825535858545
10,0.01,<class 'keras.src.optimizers.adam.Adam'>,0.01,32,0.7937574982643127,0.9369819760322571,0.7937574414654914
10,0.01,<class 'keras.src.optimizers.adam.Adam'>,0.01,64,0.8016799688339233,0.9442729949951172,0.8016799728026145
10,0.01,<class 'keras.src.optimizers.adam.Adam'>,0.01,128,0.8635177612304688,1.004896640777588,0.8635177321013714
