n_centers,gamma,optimizer,learning_rate,batch_size,test_loss,val_loss,test_mse
5,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.001,32,0.9016709327697754,1.0204323530197144,0.9016709199234035
5,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.001,64,0.8891016244888306,1.0403012037277222,0.8891016891283406
5,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.001,128,0.846129298210144,0.9692107439041138,0.8461292995850073
5,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.01,32,0.690412163734436,0.8052791357040405,0.690412141347318
5,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.01,64,0.6499653458595276,0.7997728586196899,0.6499653618284079
5,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.01,128,0.8151745796203613,0.9745205640792847,0.8151745402100522
5,0.1,<class 'keras.src.optimizers.sgd.SGD'>,0.001,32,0.894706130027771,1.0440073013305664,0.8947061221405913
5,0.1,<class 'keras.src.optimizers.sgd.SGD'>,0.001,64,1.0383018255233765,1.129926323890686,1.0383018424168942
5,0.1,<class 'keras.src.optimizers.sgd.SGD'>,0.001,128,0.930704653263092,1.0652388334274292,0.9307045934764443
5,0.1,<class 'keras.src.optimizers.sgd.SGD'>,0.01,32,0.8110893368721008,0.9358307123184204,0.8110892751999071
5,0.1,<class 'keras.src.optimizers.sgd.SGD'>,0.01,64,0.9397319555282593,1.1104693412780762,0.9397319561723001
5,0.1,<class 'keras.src.optimizers.sgd.SGD'>,0.01,128,0.9165279865264893,1.0592260360717773,0.9165280181545278
5,0.5,<class 'keras.src.optimizers.adam.Adam'>,0.001,32,0.8944159150123596,1.0296216011047363,0.8944158903795517
5,0.5,<class 'keras.src.optimizers.adam.Adam'>,0.001,64,0.8967432975769043,1.0313493013381958,0.8967433444365671
5,0.5,<class 'keras.src.optimizers.adam.Adam'>,0.001,128,0.8976820111274719,1.029731035232544,0.8976821253652784
5,0.5,<class 'keras.src.optimizers.adam.Adam'>,0.01,32,0.8732131719589233,1.0096739530563354,0.8732131594143127
5,0.5,<class 'keras.src.optimizers.adam.Adam'>,0.01,64,0.8650709390640259,1.0058704614639282,0.8650708917089057
5,0.5,<class 'keras.src.optimizers.adam.Adam'>,0.01,128,0.888928234577179,1.0282623767852783,0.8889282687878941
5,0.5,<class 'keras.src.optimizers.sgd.SGD'>,0.001,32,0.8970574736595154,1.0331159830093384,0.8970575445211003
5,0.5,<class 'keras.src.optimizers.sgd.SGD'>,0.001,64,0.8967043161392212,1.0314855575561523,0.8967043043974021
5,0.5,<class 'keras.src.optimizers.sgd.SGD'>,0.001,128,0.8985683917999268,1.0326427221298218,0.8985683928377334
5,0.5,<class 'keras.src.optimizers.sgd.SGD'>,0.01,32,0.8968070149421692,1.0316481590270996,0.896807057594672
5,0.5,<class 'keras.src.optimizers.sgd.SGD'>,0.01,64,0.891476035118103,1.0280998945236206,0.8914760258839047
5,0.5,<class 'keras.src.optimizers.sgd.SGD'>,0.01,128,0.89792799949646,1.0316438674926758,0.8979279618287611
