n_centers,gamma,optimizer,learning_rate,batch_size,test_loss,val_loss,test_mse
15,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.01,32,0.35308754444122314,0.45861342549324036,0.3530875481581294
15,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.01,64,0.3353860378265381,0.47493821382522583,0.33538604384593995
15,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.01,128,0.4953260123729706,0.602181077003479,0.49532603060801766
15,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.05,32,0.18244361877441406,0.3172866702079773,0.18244362645549717
15,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.05,64,0.1749066561460495,0.22457768023014069,0.1749066658355376
15,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.05,128,0.24946258962154388,0.31996360421180725,0.24946257894871002
15,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.1,32,0.15660028159618378,0.2315542995929718,0.15660028590479722
15,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.1,64,0.12276904284954071,0.22209233045578003,0.12276903986951095
15,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.1,128,0.1792154312133789,0.2542725205421448,0.1792154287470544
20,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.01,32,0.21407194435596466,0.3108697235584259,0.21407193070767927
20,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.01,64,0.3017485737800598,0.43320605158805847,0.3017485671506451
20,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.01,128,0.43732765316963196,0.5426805019378662,0.43732766919914784
20,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.05,32,0.17241518199443817,0.27499353885650635,0.17241519053671242
20,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.05,64,0.17926530539989471,0.24711470305919647,0.17926529977839376
20,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.05,128,0.18158406019210815,0.2839328646659851,0.18158404324574348
20,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.1,32,0.1668962985277176,0.25171250104904175,0.16689631101537794
20,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.1,64,0.1434417963027954,0.19644805788993835,0.1434418053843241
20,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.1,128,0.13866335153579712,0.2103171944618225,0.1386633495169928
25,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.01,32,0.2424951195716858,0.3485938608646393,0.24249512312399257
25,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.01,64,0.24244166910648346,0.31622061133384705,0.24244166752282945
25,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.01,128,0.34338027238845825,0.4544045627117157,0.34338025691357577
25,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.05,32,0.1699937880039215,0.2533249855041504,0.16999378220242703
25,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.05,64,0.14219196140766144,0.2038244605064392,0.14219196776775359
25,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.05,128,0.14553558826446533,0.2465374767780304,0.14553558512925732
25,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.1,32,0.08589954674243927,0.15013298392295837,0.0858995448065185
25,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.1,64,0.15359802544116974,0.25784119963645935,0.15359803220710558
25,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.1,128,0.13392406702041626,0.2044229656457901,0.13392407209321475
